name,description,PCS/SET/DOZ,PRICE PER,,PRICE,PRICE ,UNIT,,,price,,,isHidden,shopId,categoryId
Basin Mbuni 35 (Colour),( 1 * 48 pcs ),48,"  40,678 ","  7,322 ","  48,000 ","  1,000 ",PC,  0.15 ,"  7,200 ","55,200.00","  7,200 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin Mbuni 35 (D/Colour),( 1 * 48 pcs ),48,"  65,085 ","  11,715 ","  76,800 ","  1,600 ",PC,  0.15 ,"  11,520 ","88,320.00","  11,520 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin Mkeka (Colour),( 1 * 50 pcs ),50,"  88,983 ","  16,017 ","  105,000 ","  2,100 ",PC,  0.15 ,"  15,750 ","120,750.00","  15,750 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin New African Beauty(Colour),(1 * 50 pcs),50,"  84,746 ","  15,254 ","  100,000 ","  2,000 ",PC,  0.15 ,"  15,000 ","115,000.00","  15,000 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin NO. 2  (Coloured) ,( 1 * 50 pcs ),50,"  84,746 ","  15,254 ","  100,000 ","  2,000 ",PC,  0.15 ,"  15,000 ","115,000.00","  15,000 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin NO. 2  (Coloured) , (1 * 72 pcs),72,"  122,034 ","  21,966 ","  144,000 ","  2,000 ",PC,  0.15 ,"  21,600 ","165,600.00","  21,600 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin NO. 3  (Colour),( 1 * 50 pcs ),50,"  69,915 ","  12,585 ","  82,500 ","  1,650 ",PC,  0.15 ,"  12,375 ","94,875.00","  12,375 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin NO. 4 (Colour),( 1 * 50 pcs ),50,"  46,610 ","  8,390 ","  55,000 ","  1,100 ",PC,  0.15 ,"  8,250 ","63,250.00","  8,250 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin Pyramid,( 1 * 24 pcs ),24,"  40,678 ","  7,322 ","  48,000 ","  2,000 ",PC,  0.15 ,"  7,200 ","55,200.00","  7,200 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin Rocky 42 (Colour),( 1 * 50 pcs ),50,"  67,797 ","  12,203 ","  80,000 ","  1,600 ",PC,  0.15 ,"  12,000 ","92,000.00","  12,000 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
